category,name,model,contidition,price,stock
DISK,2020 CASE IH 475,475,Used,"$ 139,900 USD",3052392
4WD TRACTOR,2010 JOHN DEERE 9530T,9530T,Used,"$ 138,860 USD",3068670
COMBINE,2015 CASE IH 6140,6140,Used,"$ 137,800 USD",3058812
SPRAYER- SELF PROPELLED,2012 CASE IH 4430,4430,Used,"$ 137,800 USD",2877094
COMBINE,2013 CASE IH 7230,7230,Used,"$ 137,800 USD",3082579
COMBINE,2013 CASE IH 8230,8230,Used,"$ 136,740 USD",3087004
COMBINE,CASE IH 7230,7230,Used,"$ 136,740 ",3068343
COMBINE,2015 CASE IH 7240,7240,Used,"$ 134,400 USD",2909780
SPRAYER- SELF PROPELLED,2012 CASE IH 4430,4430,Used,"$ 132,500 USD",3035927
COMBINE,2012 CASE IH 7230,7230,Used,"$ 131,440 USD",2477959
COMBINE,2013 JOHN DEERE S660,S660,Used,"$ 131,000 USD",3061863
COMBINE,2012 CASE IH 7230,7230,Used,"$ 129,900 USD",3072380
COMBINE,2015 CASE IH 7240,7240,Used,"$ 129,850 USD",2982493
2WD &amp; MFWD TRACTOR,2009 CASE IH 245,245,Used,"$ 129,000 USD",3071930
SPRAYER- SELF PROPELLED,2010 CASE IH 3330,3330,Used,"$ 128,260 USD",3087936
4WD TRACTOR,2006 CASE IH STX480Q,STX480Q,Used,"$ 128,000 USD",3084583
COMBINE,2012 CASE IH 7230,7230,Used,"$ 127,200 USD",3067168
COMBINE,2013 NEW HOLLAND CR8080,CR8080,Used,"$ 126,000 USD",3062996
SPRAYER- SELF PROPELLED,2010 ROGATOR 1386,1386,Used,"$ 125,900 USD",3033031
COMBINE,2015 CASE IH 7240,7240,Used,"$ 124,020 USD",2298986
COMBINE,2013 CASE IH 8230,8230,Used,"$ 123,625 USD",2912903
2WD &amp; MFWD TRACTOR,2014 CASE IH 180C,180C,Used,"$ 123,000 USD",3010306
COMBINE,2012 CASE IH 7230,7230,Used,"$ 122,000 USD",3054015
COMBINE,2012 JOHN DEERE S670,S670,Used,"$ 120,000 USD",3071069
2WD &amp; MFWD TRACTOR,2008 CASE IH 335,335,Used,"$ 120,000 USD",12989153
COMBINE,2013 CASE IH 5130,5130,Used,"$ 119,800 USD",3077973
COMBINE,2013 CASE IH 7230,7230,Used,"$ 119,500 USD",3067459
COMBINE,2011 CASE IH 7088,7088,Used,"$ 119,000 USD",3084934
MANURE SPREADER,2020 BUNNING 230,230,Used,"$ 118,720 USD",3085529
COMBINE,2014 CASE IH 7230,7230,Used,"$ 118,720 USD",3069738
COMBINE,2011 CASE IH AF8120,AF8120,Used,"$ 118,500 USD",3075084
COMBINE,2012 CASE IH 9230,9230,Used,"$ 117,000 USD",3062202
COMBINE,2012 CASE IH 8230,8230,Used,"$ 116,900 USD",2899472
COMBINE,2012 CASE IH 7130,7130,Used,"$ 116,600 USD",3063835
2WD &amp; MFWD TRACTOR,2015 CASE IH PUMA 170,PUMA 170,Used,"$ 114,480 USD",3075586
COMBINE,2012 CASE IH 8230,8230,Used,"$ 113,900 USD",2899470
COMBINE,2013 CASE IH 8230,8230,Used,"$ 112,500 USD",3001029
WINDROWER-SELF PROPELLED,2015 CASE IH WD2504,WD2504,Used,"$ 112,000 USD",2999592
PLANTER,2012 CASE IH 1260,1260,Used,"$ 112,000 USD",2944352
4WD TRACTOR,2004 CASE IH STX500Q,STX500Q,Used,"$ 109,975 USD",3082861
4WD TRACTOR,2003 CASE IH STX450Q,STX450Q,Used,"$ 109,900 USD",3069374
COMBINE,2012 CASE IH 8230,8230,Used,"$ 109,900 USD",3058718
2WD &amp; MFWD TRACTOR,2014 JOHN DEERE 6140R,6140R,Used,"$ 109,900 USD",3003285
2WD &amp; MFWD TRACTOR,2019 CASE IH 140,140,Used,"$ 109,900 USD",3084738
PLANTER,2013 CASE IH 1265,1265,Used,"$ 109,500 USD",2938672
2WD &amp; MFWD TRACTOR,2007 CASE IH 245,245,Used,"$ 109,500 ",3085815
2WD &amp; MFWD TRACTOR,2015 CASE IH PUMA 165C,PUMA 165C,Used,"$ 109,180 USD",3073310
SPRAYER- SELF PROPELLED,2011 MILLER 4365,4365,Used,"$ 109,180 USD",2934360
COMBINE,2013 CASE IH 7230,7230,Used,"$ 109,180 USD",3046148
CORNHEAD,2019 JOHN DEERE 712C,712C,Used,"$ 109,000 USD",3051661
COMBINE,2013 CASE IH 8230,8230,Used,"$ 109,000 USD",3067642
COMBINE,2012 CASE IH 8230,8230,Used,"$ 108,900 USD",3087822
VERTICAL TILLAGE,2020 SUMMERS 40 VRT,40 VRT,Used,"$ 108,650 USD",3076404
WINDROWER-SELF PROPELLED,2015 CASE IH WD1504,WD1504,Used,"$ 107,900 USD",3053723
COMBINE,2012 JOHN DEERE S670,S670,Used,"$ 107,000 USD",3007821
CORNHEAD,2021 GERINGHOFF NS1230,NS1230,Used,"$ 106,900 USD",3054100
CORNHEAD,GERINGHOFF NS1230,NS1230,Used,"$ 106,900 USD",3054106
COMBINE,2012 CASE IH 8230,8230,Used,"$ 105,930 USD",3069689
COMBINE,2010 CASE IH 8120,8120,Used,"$ 105,600 USD",3046098
PLANTER,2011 CASE IH 1260,1260,Used,"$ 105,555 USD",2939209
COMBINE,2012 CASE IH 9230,9230,Used,"$ 105,000 USD",3062205
COMBINE,2013 CASE IH 7230,7230,Used,"$ 104,860 USD",2927885
SPRAYER- SELF PROPELLED,2011 APACHE AS1220,AS1220,Used,"$ 103,790 USD",3064900
COMBINE,2012 CASE IH 7130,7130,Used,"$ 103,000 USD",2992939
COMBINE,2013 CASE IH 7130,7130,Offers available,"$ 102,720 USD",3006016
COMBINE,2014 NEW HOLLAND CR8080,CR8080,Used,"$ 101,896 USD",3082037
CORNHEAD,2021 GERINGHOFF NS1230,NS1230,Used,"$ 101,650 USD",3019167
COMBINE,2011 CASE IH 7120,7120,Used,"$ 101,650 USD",3013734
2WD &amp; MFWD TRACTOR,2011 CASE IH 260,260,Used,"$ 101,650 USD",3086158
CORNHEAD,2021 GERINGHOFF NS1230,NS1230,Used,"$ 101,650 USD",3019162
CORNHEAD,2021 GERINGHOFF NS1230,NS1230,Used,"$ 101,650 USD",3019170
PLANTER,2014 CASE IH 1255,1255,Used,"$ 101,000 USD",2980733
COMBINE,2011 CASE IH 8120,8120,Used,"$ 99,938 USD",2460891
2WD &amp; MFWD TRACTOR,2018 CASE IH MAX135,MAX135,Used,"$ 99,700 USD",3079866
SPRAYER- SELF PROPELLED,2011 APACHE AS720,AS720,Used,"$ 99,556 USD",2957960
4WD TRACTOR,2011 NEW HOLLAND T9390,T9390,Used,"$ 99,510 USD",3027926
SPRAYER- SELF PROPELLED,2014 CASE IH 2240,2240,Used,"$ 99,500 USD",3029966
DISK,2018 DEGELMAN PRO 33,PRO 33,Used,"$ 99,500 USD",3051324
COMBINE,2009 CASE IH AF8120,AF8120,Used,"$ 98,440 USD",3068001
DRAPER HEAD,2021 MACDON FD145,FD145,Used,"$ 98,440 USD",3028106
DRAPER HEAD,2020 CASE IH 3162,3162,Used,"$ 96,900 USD",3060177
DRAPER HEAD,2020 CASE IH 3162,3162,Used,"$ 96,900 USD",3060178
PLANTER,2010 CASE IH 1260,1260,Used,"$ 96,300 USD",3021002
4WD TRACTOR,2005 CASE IH STX450,STX450,Used,"$ 95,760 USD",2000599
COMBINE,2011 CASE IH 6088,6088,Used,"$ 95,000 USD",3083170
APPLICATOR,2014 MILLER GC75,GC75,Used,"$ 95,000 USD",2860929
COMBINE,2010 JOHN DEERE 9770,9770,Used,"$ 95,000 USD",2884891
COMBINE,2010 CASE IH 6088,6088,Used,"$ 95,000 USD",3062436
COMBINE,2011 CASE IH 6088,6088,Used,"$ 95,000 USD",3085076
4WD TRACTOR,2002 CASE IH STX450Q,STX450Q,Used,"$ 95,000 USD",3074719
4WD TRACTOR,2002 CASE IH STX375Q,STX375Q,Used,"$ 95,000 USD",3069822
DISK,2019 JOHN DEERE 2680H,2680H,Used,"$ 94,900 USD",3025269
2WD &amp; MFWD TRACTOR,2012 CASE IH MAX115,MAX115,Used,"$ 94,900 USD",3027830
2WD &amp; MFWD TRACTOR,2008 CASE IH PUMA 180,PUMA 180,Used,"$ 94,695 USD",3078503
2WD &amp; MFWD TRACTOR,2008 CASE IH 305,305,Used,"$ 94,695 USD",2996167
